Date,Year,是否节假日,所处节日,产品,产品部门,品类,促销活动,折扣类型,促销渠道,促销广告类型,广告媒体名称,客户类型,客户性别,客户城市,客户所在州,客户所在区域,经销商名称,交易类型,支付方式,numeric1,numeric2,销售金额,成本金额,毛利额
1/1/2016,2016,Holiday,ValentinesDay,TopQuality Bratwurst,Food,Meat,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Courtland,Alabama,South,Ripe Warehouse,购买,Debit,-53,65,2610,1110,1869.5
1/1/2016,2016,Holiday,ValentinesDay,VidaSource Canned Tuna,Food,Canned Goods,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Burnside,Pennsylvania,East,Ripe Warehouse,购买,Other,-91,90,3660,3180,1199
1/1/2016,2016,Holiday,ValentinesDay,Portland's Best Sling,Medical,Medical,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Vancouver,Washington,West,Ripe Warehouse,购买,Credit,89,58,1670,890,1205.4
1/1/2016,2016,Holiday,ValentinesDay,JoyDeal Baked Beans,Food,Canned Goods,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Dalton,Nebraska,Midwest,Ripe Warehouse,购买,Debit,-12,28,5535,2760,2841.4
1/1/2016,2016,Holiday,ValentinesDay,BestPrice Mezcal,Non-food,Liquor,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,女性,Greenville,North Carolina,South,Ripe Warehouse,购买,Credit,40,-9,968,482,534.1
1/1/2016,2016,Holiday,ValentinesDay,TopQuality Football,Misc,Gifts,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Hamer,Idaho,West,Ripe Warehouse,购买,Debit,-16,-67,3346,2800,978.9
1/1/2016,2016,Holiday,ValentinesDay,EasyFind Canned Chicken Broth,Food,Canned Goods,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,女性,Fort Worth,Texas,Southwest,Ripe Warehouse,购买,Credit,71,-67,5940,2712,3747.9
1/1/2016,2016,Holiday,ValentinesDay,VidaSource Tenderloin,Food,Meat,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Beggs,Oklahoma,Southwest,Ripe Warehouse,购买,Credit,-10,-14,2751,1302,1458.6
1/1/2016,2016,Holiday,ValentinesDay,Super-Valu Chicken Nuggets,Food,Meat,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,Redding,California,West,Ripe Warehouse,购买,Credit,86,6,2550,2350,289.6
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Cholesterol Reducer,Medical,Pharmacy,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,女性,Dutzow,Missouri,Midwest,Ripe Warehouse,购买,Debit,-71,56,6435,2899,3778.6
1/1/2016,2016,Holiday,ValentinesDay,VidaSource Canned Tuna,Food,Canned Goods,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Pelican Lake,Wisconsin,Midwest,Ripe Warehouse,购买,Credit,71,58,3843,3339,911.4
1/1/2016,2016,Holiday,ValentinesDay,TopQuality Football,Misc,Gifts,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Ashland,Mississippi,South,Ripe Warehouse,购买,Debit,-18,-3,2629,2200,411.9
1/1/2016,2016,Holiday,ValentinesDay,Portland's Best Electric Razor,Misc,Gifts,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Dalzell,South Carolina,South,Ripe Warehouse,购买,Credit,-76,-55,4888,2249,2865.5
1/1/2016,2016,Holiday,ValentinesDay,SanTop Diabetes Blood Testing Kit,Medical,Pharmacy,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Redding,California,West,Ripe Warehouse,购买,Check,62,-64,369,263,577.6
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Nicotine Patches,Medical,Pharmacy,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Redlands,California,West,Ripe Warehouse,购买,Debit,21,100,2688,945,2764
1/1/2016,2016,Holiday,ValentinesDay,Super-Valu Birthday Cards,Misc,Gifts,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Eureka,California,West,Ripe Warehouse,购买,Cash,57,-23,1881,621,1369.9
1/1/2016,2016,Holiday,ValentinesDay,SimpleBuy Nicotine Gum,Medical,Pharmacy,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Blue Mountain,Arkansas,South,Ripe Warehouse,购买,Cash,-37,-76,11020,5680,5880.6
1/1/2016,2016,Holiday,ValentinesDay,Mother's Choice Whole Milk,Food,Dairy,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,San Francisco,California,West,Ripe Warehouse,购买,Debit,-29,-53,2124,1170,1205.9
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Dish Soap,Non-food,Cleaning Supplies,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Flomot,Texas,Southwest,Ripe Warehouse,购买,Credit,32,83,5798,2990,3528.9
1/1/2016,2016,Holiday,ValentinesDay,VidaSource Tenderloin,Food,Meat,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Fayette,New York,East,Ripe Warehouse,购买,Debit,-39,-20,131,62,70
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Canned Chili,Food,Canned Goods,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,女性,Salem,Oregon,West,Ripe Warehouse,购买,Credit,90,41,2886,403,2741.1
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Photo Albums,Misc,Photography,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,North Charleston,South Carolina,South,Ripe Warehouse,购买,Credit,-79,42,5643,2673,3067.4
1/1/2016,2016,Holiday,ValentinesDay,Pam's Club Whole Milk,Food,Dairy,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Covington,Kentucky,South,Ripe Warehouse,购买,Credit,-14,-54,1730,30,1977.6
1/1/2016,2016,Holiday,ValentinesDay,BestPrice Nicotine Gum,Medical,Pharmacy,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Indianapolis,Indiana,Midwest,Ripe Warehouse,购买,Debit,67,22,2646,1440,1321.4
1/1/2016,2016,Holiday,ValentinesDay,DealZone Kidney Beans,Food,Canned Goods,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Coosawatchie,South Carolina,South,Ripe Warehouse,购买,Credit,3,-49,2070,1773,540.1
1/1/2016,2016,Holiday,ValentinesDay,DealZone Squash,Food,Produce,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,女性,Alexander,North Carolina,South,Ripe Warehouse,购买,Credit,-89,-19,6072,3146,2873.1
1/1/2016,2016,Holiday,ValentinesDay,Pam's Club Stuffed Animal,Misc,Gifts,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Arcadia,Nebraska,Midwest,Ripe Warehouse,购买,Debit,0,-5,1285,860,427.5
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Picture Frames,Misc,Photography,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,公司,0,Cambridge,Idaho,West,Ripe Warehouse,购买,Credit,13,-93,1515,771,1621.9
1/1/2016,2016,Holiday,ValentinesDay,TopQuality Canned Tuna,Food,Canned Goods,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,公司,0,Agate,North Dakota,Midwest,Ripe Warehouse,购买,Credit,-70,-30,3458,1925,1553
1/1/2016,2016,Holiday,ValentinesDay,TopQuality Football,Misc,Gifts,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Alex,Oklahoma,Southwest,Ripe Warehouse,购买,Credit,-14,83,2868,2400,1142.9
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Picture Frames,Misc,Photography,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,Emporia,Virginia,East,Ripe Warehouse,购买,Cash,-41,-26,505,257,274.6
1/1/2016,2016,Holiday,ValentinesDay,DealZone Catfish,Food,Seafood,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Mount Pleasant,Michigan,Midwest,Ripe Warehouse,购买,Credit,1,-46,6681,3604,3289.6
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Vanilla Ice Cream,Food,Frozen Goods,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,Burbank,California,West,Ripe Warehouse,购买,Credit,-87,-19,6105,3289,2765.1
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Frozen Pizza,Food,Frozen Goods,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Kennewick,Washington,West,Ripe Warehouse,购买,Credit,58,-56,6681,3213,3839.6
1/1/2016,2016,Holiday,ValentinesDay,Super-Valu Dish Soap,Non-food,Cleaning Supplies,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Baltimore,Maryland,East,Ripe Warehouse,购买,Credit,17,83,5049,2574,3180.9
1/1/2016,2016,Holiday,ValentinesDay,DealZone Sausage,Food,Meat,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Lynwood,California,West,Ripe Warehouse,购买,Cash,-33,88,1001,133,1609.4
1/1/2016,2016,Holiday,ValentinesDay,Pam's Club Ice Cream Sandwhiches,Food,Frozen Goods,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Amlin,Ohio,Midwest,Ripe Warehouse,购买,Cash,81,-29,3094,2652,607.1
1/1/2016,2016,Holiday,ValentinesDay,Super-Valu Analog Camera,Misc,Photography,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Seattle,Washington,West,Ripe Warehouse,购买,Cash,92,42,5250,1155,4363.4
1/1/2016,2016,Holiday,ValentinesDay,JoyDeal Frozen Onion Rings,Food,Frozen Goods,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Otwell,Indiana,Midwest,Ripe Warehouse,购买,Check,89,-8,364,84,375.4
1/1/2016,2016,Holiday,ValentinesDay,Super-Valu Chicken Nuggets,Food,Meat,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Duluth,Minnesota,Midwest,Ripe Warehouse,购买,Credit,93,63,3315,3055,749.9
1/1/2016,2016,Holiday,ValentinesDay,Mother's Choice Rubber Gloves,Non-food,Cleaning Supplies,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,女性,Ozona,Texas,Southwest,Ripe Warehouse,购买,Other,71,-40,1148,586,793
1/1/2016,2016,Holiday,ValentinesDay,Portland's Best Dish Soap,Non-food,Cleaning Supplies,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Beirne,Arkansas,South,Ripe Warehouse,购买,Credit,76,48,750,351,705.4
1/1/2016,2016,Holiday,ValentinesDay,ValueMart Rubber Gloves,Non-food,Cleaning Supplies,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,Canton,Missouri,Midwest,Ripe Warehouse,购买,Credit,-23,-45,4121,1404,2896.5
1/1/2016,2016,Holiday,ValentinesDay,Super-Valu Antibiotics,Medical,Pharmacy,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Cordele,Georgia,South,Ripe Warehouse,购买,Cash,-21,60,1284,582,1041
1/1/2016,2016,Holiday,ValentinesDay,Super-Valu Camera Case,Misc,Photography,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,公司,0,Price,Utah,Southwest,Ripe Warehouse,购买,Debit,-1,-66,4147,2552,2029.6
1/1/2016,2016,Holiday,ValentinesDay,EasyFind Frozen French Fries,Food,Frozen Goods,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Elgin,Arizona,Southwest,Ripe Warehouse,购买,Credit,-67,35,5865,4050,1870.5
1/1/2016,2016,Holiday,ValentinesDay,VidaSource Chocolate Chip Cookies,Food,Bakery,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Las Vegas,Nevada,West,Ripe Warehouse,购买,Credit,-20,11,6266,3900,2358.1
1/1/2016,2016,Holiday,ValentinesDay,Portland's Best Sling,Medical,Medical,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Center,Missouri,Midwest,Ripe Warehouse,购买,Other,49,23,334,178,257.9
1/1/2016,2016,Holiday,ValentinesDay,SanTop Rye,Non-food,Liquor,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,公司,0,Beecher,Illinois,Midwest,Ripe Warehouse,购买,Credit,60,87,3108,1776,2148.9
1/1/2016,2016,Holiday,ValentinesDay,Trader Jon's Perfume,Misc,Gifts,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Canyon,Texas,Southwest,Ripe Warehouse,Return,Credit,-48,71,-339,-68,185.1
1/1/2016,2016,Holiday,ValentinesDay,Mother's Choice Chicken Nuggets,Food,Meat,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Canton,Ohio,Midwest,Ripe Warehouse,购买,Cash,-94,-63,2336,1544,1094.9
1/3/2016,2016,NonHoliday,ValentinesDay,Portland's Best Dish Soap,Non-food,Cleaning Supplies,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Durhamville,New York,East,Ripe Warehouse,购买,Cash,-40,96,3500,1638,2743.6
1/3/2016,2016,NonHoliday,ValentinesDay,ValueMart Photo Albums,Misc,Photography,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Bovina,Texas,Southwest,Ripe Warehouse,购买,Credit,82,81,4152,552,4338.1
1/3/2016,2016,NonHoliday,ValentinesDay,VidaSource Lettuce,Food,Produce,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Cary,North Carolina,South,Ripe Warehouse,购买,Credit,57,44,9174,6072,3352.6
1/3/2016,2016,NonHoliday,ValentinesDay,SanTop Rye,Non-food,Liquor,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Richardson,Texas,Southwest,Ripe Warehouse,购买,Cash,14,48,3626,2072,1798.4
1/3/2016,2016,NonHoliday,ValentinesDay,Super-Valu Squash,Food,Produce,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Berlin,Georgia,South,Ripe Warehouse,购买,Credit,-60,-23,290,174,108.9
1/3/2016,2016,NonHoliday,ValentinesDay,EasyFind Dish Soap,Non-food,Cleaning Supplies,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Bloomington,Minnesota,Midwest,Ripe Warehouse,购买,Cash,-9,-26,216,63,211.6
1/3/2016,2016,NonHoliday,ValentinesDay,SanTop Green Peppers,Food,Produce,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Montpelier,Vermont,East,Ripe Warehouse,购买,Cash,38,-51,1034,594,738.1
1/3/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Tenderloin,Food,Meat,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Chicago,Illinois,Midwest,Ripe Warehouse,购买,Credit,-2,72,170,165,521.4
1/3/2016,2016,NonHoliday,ValentinesDay,Pam's Club Tuna,Food,Seafood,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Oklahoma City,Oklahoma,Southwest,Ripe Warehouse,购买,Cash,27,93,3170,2420,1641.9
1/3/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Fried Fish Patties,Food,Seafood,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Missouri City,Texas,Southwest,Ripe Warehouse,购买,Cash,57,-61,2952,2268,1113.1
1/3/2016,2016,NonHoliday,ValentinesDay,ValueMart Frozen Pizza,Food,Frozen Goods,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,公司,0,Salem,Oregon,West,Ripe Warehouse,购买,Debit,-12,74,2520,720,2335.6
1/3/2016,2016,NonHoliday,ValentinesDay,ValueMart Strawberry Ice Cream,Food,Frozen Goods,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Perry,Florida,South,Ripe Warehouse,购买,Other,43,64,414,213,653.6
1/3/2016,2016,NonHoliday,ValentinesDay,SanTop Green Peppers,Food,Produce,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,女性,Paulina,Oregon,West,Ripe Warehouse,购买,Cash,-13,-38,282,162,251.4
1/3/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Canned Olives,Food,Canned Goods,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Aiken,Texas,Southwest,Ripe Warehouse,购买,Credit,67,-24,4140,1440,2824.6
1/3/2016,2016,NonHoliday,ValentinesDay,SanTop Rye,Non-food,Liquor,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Baltimore,Maryland,East,Ripe Warehouse,购买,Credit,13,-50,2849,1628,1484
1/3/2016,2016,NonHoliday,ValentinesDay,ValueMart Splint,Medical,Medical,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Beauty,Kentucky,South,Ripe Warehouse,购买,Credit,-10,-25,2700,2300,452.5
1/3/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Tuna,Food,Seafood,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,San Jose,California,West,Ripe Warehouse,购买,Credit,28,-68,481,278,693.4
1/3/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Allergy Pills,Medical,Pharmacy,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Hiawassee,Georgia,South,Ripe Warehouse,Return,Other,63,-7,-2405,-1490,-847.1
1/3/2016,2016,NonHoliday,ValentinesDay,ValueMart Frozen Pizza,Food,Frozen Goods,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Athens,Tennessee,South,Ripe Warehouse,购买,Credit,-47,62,2100,600,1837.4
1/3/2016,2016,NonHoliday,ValentinesDay,TopQuality Strawberry Ice Cream,Food,Frozen Goods,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Dutzow,Missouri,Midwest,Ripe Warehouse,Return,Credit,20,56,-740,-320,-86.4
1/3/2016,2016,NonHoliday,ValentinesDay,Pam's Club White Bread,Food,Bakery,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Richmond,Virginia,East,Ripe Warehouse,购买,Debit,85,-66,7072,3211,4381.6
1/3/2016,2016,NonHoliday,ValentinesDay,Pam's Club Telephoto Lens,Misc,Photography,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,North Judson,Indiana,Midwest,Ripe Warehouse,购买,Debit,-54,2,3348,684,2610.4
1/3/2016,2016,NonHoliday,ValentinesDay,TopQuality Frozen Juice,Food,Frozen Goods,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,Burlington,Vermont,East,Ripe Warehouse,购买,Credit,-90,64,2464,216,2567.6
1/3/2016,2016,NonHoliday,ValentinesDay,Mother's Choice Blood Pressure Medicine,Medical,Pharmacy,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Denver,Colorado,Southwest,Ripe Warehouse,购买,Other,-31,67,45,2,460.9
1/3/2016,2016,NonHoliday,ValentinesDay,Portland's Best Salmon,Food,Seafood,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,West Covina,California,West,Ripe Warehouse,购买,Cash,-75,-68,1992,16,2363.4
1/3/2016,2016,NonHoliday,ValentinesDay,EasyFind Ipa,Non-food,Liquor,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Anaheim,California,West,Ripe Warehouse,购买,Credit,-99,61,418,286,405.1
1/3/2016,2016,NonHoliday,ValentinesDay,SanTop Green Peppers,Food,Produce,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Charlotte,North Carolina,South,Ripe Warehouse,购买,Credit,-72,60,846,486,648
1/3/2016,2016,NonHoliday,ValentinesDay,EasyFind Camera Batteries,Misc,Photography,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,North Charleston,South Carolina,South,Ripe Warehouse,购买,Cash,-33,83,1608,1376,887.9
1/3/2016,2016,NonHoliday,ValentinesDay,ValueMart Rubber Gloves,Non-food,Cleaning Supplies,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Cyrus,Minnesota,Midwest,Ripe Warehouse,Return,Other,-26,93,-317,-108,629.9
1/3/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Potatoes,Food,Produce,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Coahoma,Texas,Southwest,Ripe Warehouse,购买,Debit,62,59,3368,1088,2690.1
1/3/2016,2016,NonHoliday,ValentinesDay,VidaSource Cold Remedy,Medical,Medical,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Alton,Iowa,Midwest,Ripe Warehouse,购买,Credit,-86,67,1092,483,971.9
